Year,Month,Station,AT,WT,SD,Salinity,TDS,Conductivity,DO,pH,Alkalinity,NO3-N,SRP,SRS,Chl-a,Phaeopigments,PD
2018,December,R3,23.5,24.2,31,4,1.11,10,5.9,7.2,1,0.098,48.8,5.246,4.325,3.5,4.5
2019,January,B1,25,26.4,47,6,0.184,904,2.5,8.8,3,0.0126,36.12,5.4625,8.29,8.35,0.77
2019,January,B2,25,26.2,48,0,0.083,382,2.5,8.5,4.5,0.0012,32.99,7.8012,4.74,0.252,0.84
2019,January,B3,25,26,44,5,0.081,372,2.2,8.6,2.7,0.0229,28.297,8.8495,5.92,4.064,1.48
2019,January,R1,24.5,25.5,33,1,1,10,5.9,7.8,2.4,0.0195,34.56,6.6184,7.104,7.872,12.44
2019,January,R2,24.5,25.1,36,3,1.443,10,6.8,7.9,4.6,0.054,50.2,7.1291,8.288,5.856,10.12
2019,January,R3,24.5,25,33,3,1.888,11.8,5.9,7.7,2.4,0.0367,61.16,7.9087,4.736,1.088,7.48
2019,February,B1,26,27.8,45,2,1.215,980,3.2,8.2,3.5,0.2941,42.54,4.3621,6.89,5.21,1.1
2019,February,B2,26.5,27.5,49,5,1.352,720,3.1,8.2,4.2,0.4921,43.28,5.2631,4.12,3.21,0.78
2019,February,B3,26.5,28,47,2,1.425,680,3.2,8.5,3.8,0.9421,41.26,4.2621,3.96,1.96,1.23
2019,February,R1,25.2,27.5,35,3,1.116,9.1,6.2,8.1,3.2,0.2122,45.22,5.2126,6.84,2.84,6.54
2019,February,R2,25.8,27,39,1,1.445,8.72,6.8,8,3.9,0.1233,48.52,5.1244,5.98,2.72,7.45
2019,February,R3,26.2,28,37,2,1.228,9.52,6.1,8.2,3.5,0.2123,56.22,4.9266,4.25,2.01,7.12
2019,March,B1,28,30.4,48,8,1.951,1019,4.9,8.4,4.6,0.7534,54.1984,2.4574,3.552,7.264,1.19
2019,March,B2,28,30.2,55,9,1.935,990,7.6,8.3,4.4,0.5794,52.7359,2.6288,1.184,7.968,0.81
2019,March,B3,28,30.2,58,1,1.924,982,7.5,7.7,4.4,1.3582,52.6739,3.0286,2.368,10.112,1
2019,March,R1,27.5,29.9,44,10,1.671,8.47,7.9,8.3,3.8,0.4262,55.8344,3.9997,7.104,2.88,2.12
2019,March,R2,28,30.4,49,9,1.559,7.81,6.8,8.2,3.9,0.1735,52.0914,4.6851,4.736,3.584,1.89
2019,March,R3,28,30.2,49,11,1.466,7.35,6.9,8.3,3.7,0.2978,52.0542,3.9426,3.552,2.272,2.15
2019,April,B1,31,33,57,12,1.89,1002,4.8,8.3,4,0.9518,68.2096,2.1258,2.368,4.288,1.23
2019,April,B2,31,33.5,60,19,1.745,1125,4.3,8.3,4.4,0.3047,86.3024,1.4394,3.552,1.44,1.65
2019,April,B3,31,33.5,65,0,1.906,1133,4.5,8.2,4.5,0.7321,82.0807,2.0729,1.184,0.48,0.78
2019,April,R1,30.5,33,54,18,1.867,11.77,5.2,8.4,4,1.2634,13.3282,1.5449,13.024,1.952,1.7
2019,April,R2,30.5,32.5,57,14,1.993,11.23,5.5,8.4,3.8,1.511,18.1529,2.2842,8.288,1.696,4.19
2019,April,R3,30.5,33,60,16,1.877,11.92,4.7,8.4,4.4,1.3792,20.5653,2.3369,11.84,1.472,1.16
2019,May,B1,28,29.5,62,15,13.39,679,4.2,7.9,4.4,0.3769,93.6025,7.9806,4.736,0.256,0.88
2019,May,B2,28,29.5,68,28,19.9,1043,3.7,8,4.5,1.0278,80.1795,7.8431,3.552,1.44,4.14
2019,May,B3,28,29.5,63,4,1.36,635,3.5,7.8,4.2,0.0993,242.4235,12.0575,3.423,5.218,0.92
2019,May,R1,29,30.5,57,30,19.9,110.2,3.3,7.4,4.9,1.2447,196.9018,5.8276,9.472,0.512,1.23
2019,May,R2,29,30.5,60,28,18.88,113.8,3.4,8,4.9,1.0451,34.6578,6.6979,5.552,1.936,0.92
2019,May,R3,29,30.5,63,27,18.6,115.5,3.2,8.1,4.7,0.7501,39.3267,6.0566,4.736,1.088,1.19
2019,June,B1,29,30.5,52,14,0.076,364,2,8.8,2.2,0.1388,78.689,6.043,2.368,5.952,1.09
2019,June,B2,29,30.3,60,13,0.096,408,1.8,8.8,2.6,0.3702,26.209,4.44,11.84,1.472,0.96
2019,June,B3,29,30.2,55,2,0.085,316,1.6,8.6,2.9,0.1906,66.306,5.12,5.92,0.096,0.96
2019,June,R1,28,30,48,16,1.225,50,6.5,8.3,3.4,0.3861,30.926,2.692,8.288,9.184,8.16
2019,June,R2,28,30.1,49,19,0.969,49.8,5.8,8.4,3.7,0.1906,92.84,5.266,9.472,2.176,11.01
2019,June,R3,28,30,55,10,0.999,52.4,5.8,8.2,3.3,0.5696,26.799,2.304,9.472,2.816,18.71
2019,July,B1,26,28,43,0,0.15,561,1.9,8.4,1.9,0.1722,34.876,13.1699,2.368,10.112,0.58
2019,July,B2,26,27,45,0,0.284,1026,2.4,8,1.4,0.2311,21.534,14.341,9.472,0.512,0.27
2019,July,B3,26,26.5,41,0,0.245,890,2.3,8.1,1,0.2479,30.874,14.3879,3.552,1.44,0.66
2019,July,R1,28,29,34,20,1.409,58.4,5.1,8.2,2.9,0.5003,4.1886,2.9585,8.288,5.856,12.14
2019,July,R2,28,29.5,40,21,1.438,60,6.1,8.5,2.8,0.412,2.187,3.1927,5.92,12.384,11.01
2019,July,R3,28,30,44,19,1.376,57.8,4.6,8.3,2.7,0.9167,6.189,3.0989,11.84,1.472,17.13
2019,August,B1,25,24,35,6,5.21,243,5.2,7.4,2.3,0.327,46.06,9.075,3.552,0.608,0.5
2019,August,B2,25,24,36,5,5.17,235,4.9,7.8,2,0.331,41.43,8.749,3.552,2.272,1.24
2019,August,B3,25,24,37,4,5.29,241,5,7.8,2.8,0.236,47.38,8.912,4.736,1.92,0.42
2019,August,R1,32,31,36,0,0.371,18,6.5,8.3,1.1,0.179,19.62,2.985,5.92,2.4,1.05
2019,August,R2,32,30.5,37,0,0.191,8.32,5.6,8.3,1.1,0.187,24.24,2.441,2.368,5.12,0.77
2019,August,R3,32,30,37,0,0.133,6,4,8.2,1.1,0.146,18.29,3.039,4.736,1.92,1.04
2019,September,B1,28,27.8,26,0,1.124,2650,4.8,8.2,1.4,0.269,10.987,3.515,3.552,1.44,2.25
2019,September,B2,28,27.4,27,0,0.854,1950,4.3,8.2,1.4,0.252,10.851,3.98,4.736,0.254,1.75
2019,September,B3,28,27,28,0,0.849,1940,4.1,8.2,1.5,0.201,11.963,2.54,2.368,0.96,1.2
2019,September,R1,32,31,32,1,1.484,3.35,3.9,7.8,1.5,0.206,9.864,4.96,10.656,2.656,4.15
2019,September,R2,32,30,30,1,1.49,3.37,3.6,7.9,1.6,0.274,11.621,2.86,13.024,1.12,3.15
2019,September,R3,32,30,29,5,1.341,3.04,3.8,7.9,1.7,0.299,8.85,2.16,14.84,1.472,3.2
2019,October,B1,33.1,32.7,17,5,2.71,1630,3.1,8.2,2.5,0.338,28.45,4.62,1.184,0.59,1.6
2019,October,B2,33,32.4,18,4,1.8,1020,3.5,8.2,2.7,0.259,27.64,7.67,1.184,0.49,1.45
2019,October,B3,33,32,19,0,1.48,860,3.4,8.2,2.4,0.379,31.26,4.99,1.184,0.48,1.8
2019,October,R1,33.7,31,25,6,3.35,18.7,4.5,7.7,2.3,0.448,7.86,5.3,2.85,1.897,4.45
2019,October,R2,33.5,31,25,6,3.11,17.3,4.3,7.9,2.1,0.317,6.84,5.3,3.552,2.45,4.95
2019,October,R3,33.1,31,26,5,3.73,20.4,4.5,7.8,2,0.309,0.862,5.26,4.736,3.521,5.8
2019,November,B1,27.4,26.2,41,10,1.106,475,3.2,8.3,4.7,0.208,23.12,6.64,3.89,2.46,2.5
2019,November,B2,27.1,26.1,38,8,0.909,421,4.1,8,4.2,0.195,21.46,9.128,3.96,2.56,2.35
2019,November,B3,26.9,26,39,5,0.805,373,3.3,7.8,3.7,0.173,16.54,6.478,4.87,3.54,1.8
2019,November,R1,32.1,30.8,26,0,3.55,17,3.6,8,1.7,0.059,15.46,4.478,5.67,4.52,5.6
2019,November,R2,32.7,30.5,27.2,0,2.63,15.2,2.2,7.8,1.5,0.425,11.67,4.595,5.96,4.89,2.1
2019,November,R3,32,30,27.8,0,3.14,15,1.5,7.7,1.5,0.108,10.26,4.712,4.88,3.75,3.05
2019,December,B1,25,23.7,44.8,0,1.148,998,4.2,8.2,4.6,0.098,21.46,6.356,5.23,3.21,1.71
2019,December,B2,25,23.5,41.8,3,0.988,865,3.8,7.9,4.1,0.095,18.63,4.423,5.21,1.96,1.89
2019,December,B3,25,23,42.7,0,0.976,432,3.4,8,3.9,0.091,17.89,4.856,5.34,2.34,1.2
2019,December,R1,24,22.5,31.4,7,2.11,9.7,3.4,7.6,2,0.0321,12.46,5.521,6.52,3.62,4.56
2019,December,R2,24,22,32.6,2,1.2,8.6,3,7.4,2.5,0.148,11.68,5.796,7.56,3.21,2.2
2019,December,R3,24.5,22,31.9,4,1,9.2,2.8,7.2,2.2,0.098,8.96,5.346,7.86,2.56,3.8
2020,January,B1,20,19.8,48.2,20,1.589,820,6,8.1,4.4,0.0128,37.825,5.262,5.29,4.16,1.89
2020,January,B2,20,19.5,49.6,18,1.657,794,5.4,8,4.3,0.0021,33.56,4.48,4.74,2.23,1.98
2020,January,B3,20,19.4,45.7,15,1.396,655,6.1,7.9,4.1,0.0241,29.356,4.75,5.92,2.34,1.45
2020,January,R1,22,21,34.6,14,1.3,6.18,3.7,7.9,3,0.0174,33.56,6.6184,7.104,3.52,5.01
2020,January,R2,22,21,36.8,12,1.172,5.5,4.1,8.1,3.7,0.0478,48.214,7.1291,8.288,4.52,3.1
2020,January,R3,22,21,34.2,10,1.12,5.23,3,7.9,3.5,0.0376,51.23,7.9087,8.986,1.89,4.1
2020,February,B1,25,25.5,44.9,2,1.115,780,5.8,7.8,3.7,0.283,17.86,4.263,3.96,2.46,1.95
2020,February,B2,25.4,25,48.6,5,1.252,680,4.8,7.6,4.2,0.473,16.31,3.684,4.23,1.2,2.1
2020,February,B3,25.6,25,46.6,2,1.325,536,4.9,6.8,4.6,0.823,15.42,3.698,5.46,1.3,1.23
2020,February,R1,25.2,24.8,36.6,3,1.116,8.7,4.8,8.1,3.2,0.212,11.22,4.689,6.84,3.21,6.54
2020,February,R2,25,24.5,39.8,1,1.445,8.53,4,8.3,3.5,0.123,10.52,5.234,5.98,2.75,5.12
2020,February,R3,25,24,38.5,2,1.228,8.46,4.3,8.6,3.3,0.212,7.22,5.629,4.25,2.03,4.85
2020,March,B1,27.5,26,49.2,5,1.524,1042,4.7,8.2,4.2,0.954,41.234,1.356,4.523,1.02,1.34
2020,March,B2,27.5,26.5,55.6,4,1.682,986,5.8,8.1,4.4,0.252,38.23,1.689,4.652,0.024,1.23
2020,March,B3,28,26,57.6,3,1.742,856,5.9,8.3,4.9,0.142,42.62,2.356,5.213,1.2,1.34
2020,March,R1,27.5,26,45.4,4,0.987,9.56,7.9,7.8,3.7,0.786,57.62,5.892,6.89,3.1,2.13
2020,March,R2,27,26.5,50.8,6,1.877,8.59,7.6,7.9,3.5,0.198,66.84,4.864,7.86,2.6,1.96
2020,March,R3,28,27,50.3,4,1.943,7.98,7.4,7.7,3.4,0.387,75.62,5.314,7.99,1.3,2.46
2020,April,B1,30,29,52,3,4.31,1004,4.8,8.4,3.8,0.887,98.23,2.143,4.836,0.987,1.46
2020,April,B2,30.5,29.5,58,2,3.65,1098,4.6,8.3,4.1,0.2145,74.56,1.564,5.234,1.2,2.21
2020,April,B3,30,29.5,59,3,3.89,1126,4.8,8.2,4.4,0.6231,23.56,2.013,5.687,0.456,1.65
2020,April,R1,30,29,62,4,1.567,10.89,5.4,8.1,4.1,1.1259,20.58,6.746,8.956,6.53,2.34
2020,April,R2,30.5,29.5,54,3,1.853,22.58,5.8,8.3,3.9,1.622,33.59,5.863,9.864,4.23,5.23
2020,April,R3,30,29.5,55,2,1.977,31.58,4.9,8.7,4.5,1.4532,15.67,6.889,10.532,5.43,3.64
2020,May,B1,27,26,58,3,12.435,685,4.5,8.1,4.8,0.201,83.15,7.986,5.697,2.13,1.32
2020,May,B2,27.5,27,57,2,11.894,989,3.8,7.9,4.6,0.106,54.26,8.923,6.235,1.53,5.62
2020,May,B3,27,26.5,55,5,9.87,637,3.6,7.8,4.3,0.231,74.97,10.534,6.784,1.2,1.35
2020,May,R1,27,26.5,59,4,14.53,206,3.2,7.8,4.7,0.97,99.68,7.532,9.632,4.6,2.43
2020,May,R2,27.5,26,60,6,15.24,121,3.5,8.2,4.8,0.62,89.53,6.832,10.456,2.253,1.23
2020,May,R3,27,26,61,4,16.88,258,3.4,8.1,4.2,0.32,46.52,6.596,11.852,2.13,1.64
2020,June,B1,28,27,62,4,0.102,432,2.4,8.6,2.6,0.46,94.96,6.528,4.321,1.13,1.53
2020,June,B2,28.5,27.5,59,3,0.124,485,1.9,8.5,2.8,0.34,44.53,5.324,5.234,4.67,1.57
2020,June,B3,28,27,60,5,0.097,367,1.5,8.4,3.1,0.26,42.86,6.987,5.632,2.3,1.25
2020,June,R1,28.5,27.5,63,6,1.356,125,6.8,8.2,3.8,0.16,71.85,4.231,8.964,4.53,9.82
2020,June,R2,28,27.5,65,1,0.989,71,6.2,8.3,3.6,0.136,68.32,4.653,8.523,3.65,12.46
2020,June,R3,28.5,27.5,59,0.5,1.102,86,5.9,8,3.4,0.124,53.48,3.861,7.123,4.52,14.73
2020,July,B1,27,26,56,2,0.146,569,2.1,7.8,2.1,0.146,46.53,13.234,3.69,1.1,0.87
2020,July,B2,27.5,26.5,55,1,0.329,876,2.6,7.5,1.9,0.189,36.34,14.523,4.86,4.53,0.43
2020,July,B3,27,26,49,0.5,0.426,898,2.8,7.6,1.5,0.174,48.62,14.236,4.67,1.02,0.68
2020,July,R1,27,26,48,1,2.5,87,6.1,8.2,3.1,0.234,64.52,3.314,8.94,4.126,12.43
2020,July,R2,27,26.5,53,0.5,2.3,92,6.8,8.4,2.9,0.246,53.14,4.631,7.89,2.25,9.453
2020,July,R3,27,26,56,2,2.4,69,5.9,8.8,2.7,0.286,11.46,5.645,8.64,7.53,10.23
2020,August,B1,28,27.5,51,1,4.87,394,5.3,7.2,2.5,0.159,34.58,7.876,3.65,1.523,0.89
2020,August,B2,27.5,26.5,56,0.5,4.56,436,4.9,7.9,2.1,0.149,17.52,6.746,3.623,1.532,2.24
2020,August,B3,28,27.5,58,0,5.21,356,5.1,7.5,2.6,0.122,41.23,5.324,4.567,2.236,0.99
2020,August,R1,28,27,60,0,0.426,48,6.7,8.1,1.4,0.124,32.53,4.046,7.632,2.45,1.46
2020,August,R2,28,27,49,2,0.359,36,5.8,7.9,1.5,0.162,33.48,5.134,10.26,1.23,2.15
2020,August,R3,29,28,56,0,0.294,52,4.9,7.7,1.8,0.176,12.39,1.961,7.65,2.21,1.57
