Authors,Author(s) ID,Title,Year,Source_Title,Volume,Issue,Art. No.,Page start,Page end,Page count,Citation,DOI,Link,Abstract,Author Keywords,Document_Type,Publication_Stage,Open Access,Source,EID
"Schneider N., De Filippi P., Frey S., Tan J.Z., Zhang A.X.",57204653571;55533530700;55520850100;57219766072;55892530500;,Modular Politics: Toward a Governance Layer for Online Communities,2021,Proceedings of the ACM on Human-Computer Interaction,5,CSCW1,3449090,,,,2,10.1145/3449090,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103250850&doi=10.1145%2f3449090&partnerID=40&md5=3de3b0c4ce6b3fc7e49087c76102fbe4,"Governance in online communities is an increasingly high-stakes challenge, and yet many basic features of offline governance legacies-juries, political parties, term limits, and formal debates, to name a few-are not in the feature-sets of the software most community platforms use. Drawing on the paradigm of Institutional Analysis and Development, this paper proposes a strategy for addressing this lapse by specifying basic features of a generalizable paradigm for online governance called Modular Politics. Whereas classical governance typologies tend to present a choice among wholesale ideologies, such as democracy or oligarchy, Modular Politics would enable platform operators and their users to build bottom-up governance processes from computational components that are modular and composable, highly versatile in their expressiveness, portable from one context to another, and interoperable across platforms. This kind of approach could implement pre-digital governance systems as well as accelerate innovation in uniquely digital techniques. As diverse communities share and connect their components and data, governance could occur through a ubiquitous network layer. To that end, this paper proposes the development of an open standard for networked governance. © 2021 ACM.",governance; institutional analysis and development; interoperability; online communities; peer production; platforms; standards,Article,Final,"All Open Access, Bronze, Green",Scopus,2-s2.0-85103250850
"Alasali F., Foudeh H., Ali E.M., Nusair K., Holderbaum W.",57191250074;57189688337;57004451100;57196374968;6506479001;,Forecasting and modelling the uncertainty of low voltage network demand and the effect of renewable energy sources,2021,Energies,14,8,2151,,,,1,10.3390/en14082151,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106225172&doi=10.3390%2fen14082151&partnerID=40&md5=1db07252fce35fda67c54af4297c878f,"More and more households are using renewable energy sources, and this will continue as the world moves towards a clean energy future and new patterns in demands for electricity. This creates significant novel challenges for Distribution Network Operators (DNOs) such as volatile net demand behavior and predicting Low Voltage (LV) demand. There is a lack of understanding of modern LV networks’ demand and renewable energy sources behavior. This article starts with an investigation into the unique characteristics of householder demand behavior in Jordan, connected to Photovoltaics (PV) systems. Previous studies have focused mostly on forecasting LV level demand without considering renewable energy sources, disaggregation demand and the weather conditions at the LV level. In this study, we provide detailed LV demand analysis and a variety of forecasting methods in terms of a probabilistic, new optimization learning algorithm called the Golden Ratio Optimization Method (GROM) for an Artificial Neural Network (ANN) model for rolling and point forecasting. Short-term forecasting models have been designed and developed to generate future scenarios for different disaggregation demand levels from households, small cities, net demands and PV system output. The results show that the volatile behavior of LV networks connected to the PV system creates substantial forecasting challenges. The mean absolute percentage error (MAPE) for the ANN-GROM model improved by 41.2% for household demand forecast compared to the traditional ANN model. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",ANN; ARIMAX (Autoregressive Integrated Moving Average with explanatory variables); Jordan; Load forecasting; LV network; PV system; Rolling and point forecast,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85106225172
"Fahim A., Tan Q., Naz B., Ain Q.U., Bazai S.U.",57224193600;12798760500;57189635501;57220388160;57194788948;,Sustainable higher education reform quality assessment using SWOT analysis with integration of AHP and entropy models: A case study of Morocco,2021,Sustainability (Switzerland),13,8,4312,,,,2,10.3390/su13084312,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104634870&doi=10.3390%2fsu13084312&partnerID=40&md5=a1d1203f5406511cf043ff0b71578425,"Sustainable development goals (SDG) involve not only environmental issues but also economic, social, and cultural concerns. Higher education plays a key role in promoting sustainable development initiatives and in empowering people to change their thinking and to strive for a sustainable future. However, the main issue that needs to be presently resolved is how leaders, teachers, and students in higher education can achieve sustainable development in their system vision, mission and values, strategic plans, and organizational culture. Morocco is a country with a long history of higher education and has continuous reforms for sustainable development. In the process of responding to the wave of globalization, the Moroccan government has begun to formulate a higher education reform plan to maintain its competitiveness and achieve the SDG standards. Therefore, this study is focused on the quality of the higher education system through which the sustainability of higher education reform can be implemented. With this in mind, an organized approach that involved a questionnaire using the SWOT (strengths, weaknesses, opportunities, and threats) decision-making model with integration of analytic hierarchy process (AHP) and Entropy method was developed. The questionnaires were filled out by the experts, staff, and students of the higher education system (universities) to obtain the important key factors for the SWOT analysis. The AHP was used for the qualitative analysis of the weights of the SWOT factors, while the Entropy method was applied for the objective analysis of the number of different weight attributes. After integration of AHP with Entropy, the finalized variables were ranked; these results are more reliable and realistic to decision-makers. Finally, the SWOT matrix was established based on the questionnaire assessment and the AHP with Entropy weights to help implement the higher education reform policy and to monitor the quality of the current education system. The results also indicate that higher education reform must incorporate many changes, including effective budget planning, skilled experts, internationalization, improved and expanded infrastructure, reformed study curriculum, and latest training. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",AHP and entropy; Higher education reform; Strategy and policy recommendation; Sustainable higher education; SWOT decision-making,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85104634870
"Jeon S.-Y., Lee M.-K.",57188624379;8851649100;,Acceleration of inner-pairing product operation for secure biometric verification,2021,Sensors,21,8,2859,,,,,10.3390/s21082859,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104391352&doi=10.3390%2fs21082859&partnerID=40&md5=7b49780014a242d98ddf6a994fa8f892,"With the recent advances in mobile technologies, biometric verification is being adopted in many smart devices as a means for authenticating their owners. As biometric data leakage may cause stringent privacy issues, many proposals have been offered to guarantee the security of stored biometric data, i.e., biometric template. One of the most promising solutions is the use of a remote server that stores the template in an encrypted form and performs a biometric comparison on the ciphertext domain, using recently proposed functional encryption (FE) techniques. However, the drawback of this approach is that considerable computation is required for the inner-pairing product operation used for the decryption procedure of the underlying FE, which is performed in the authentication phase. In this paper, we propose an enhanced method to accelerate the inner-pairing product computation and apply it to expedite the decryption operation of FE and for faster remote biometric verification. The following two important observations are the basis for our improvement—one of the two arguments for the decryption operation does not frequently change over authentication sessions, and we only need to evaluate the product of multiple pairings, rather than individual pairings. From the results of our experiments, the proposed method reduces the time required to compute an inner-pairing product by 30.7%, compared to the previous best method. With this improvement, the time required for biometric verification is expected to decrease by up to 10.0%, compared to a naive method. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",Biometric verification; Functional encryption; Inner-pairing product,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85104391352
"Srinivasu P.N., Sivasai J.G., Ijaz M.F., Bhoi A.K., Kim W., Kang J.J.",57200093122;57218544098;57189886891;56441729400;56517258500;56727031400;,Classification of skin disease using deep learning neural networks with mobilenet v2 and lstm,2021,Sensors,21,8,2852,,,,26,10.3390/s21082852,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104346425&doi=10.3390%2fs21082852&partnerID=40&md5=b0eeacccf8915152034f85b273ef1496,"Deep learning models are efficient in learning the features that assist in understanding complex patterns precisely. This study proposed a computerized process of classifying skin disease through deep learning-based MobileNet V2 and Long Short Term Memory (LSTM). The MobileNet V2 model proved to be efficient with a better accuracy that can work on lightweight computational devices. The proposed model is efficient in maintaining stateful information for precise predictions. A grey-level co-occurrence matrix is used for assessing the progress of diseased growth. The performance has been compared against other state-of-the-art models such as Fine-Tuned Neural Networks (FTNN), Convolutional Neural Network (CNN), Very Deep Convolutional Networks for Large-Scale Image Recognition developed by Visual Geometry Group (VGG), and convolutional neural network architecture that expanded with few changes. The HAM10000 dataset is used and the proposed method has outperformed other methods with more than 85% accuracy. Its robustness in recognizing the affected region much faster with almost 2x lesser computations than the conven-tional MobileNet model results in minimal computational efforts. Furthermore, a mobile application is designed for instant and proper action. It helps the patient and dermatologists identify the type of disease from the affected region’s image at the initial stage of the skin disease. These findings suggest that the proposed system can help general practitioners efficiently and effectively diagnose skin conditions, thereby reducing further complications and morbidity. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",Convolutional Neural Network (CNN); Deep Learning; Grey-level correlation; Long Short-Term Memory (LSTM); Mo-bileNet; Mobile platform; MobileNet V2; Neural network; Skin disease,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85104346425
"Imran, Ghaffar Z., Alshahrani A., Fayaz M., Alghamdi A.M., Gwak J.",57211507182;57215870203;57209426192;57188873234;57195754580;36620985200;,"A topical review on machine learning, software defined networking, internet of things applications: Research limitations and challenges",2021,Electronics (Switzerland),10,8,880,,,,5,10.3390/electronics10080880,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103659910&doi=10.3390%2felectronics10080880&partnerID=40&md5=4f826aa753497e88942a62fa7539cb77,"In recent years, rapid development has been made to the Internet of Things communication technologies, infrastructure, and physical resources management. These developments and research trends address challenges such as heterogeneous communication, quality of service requirements, unpredictable network conditions, and a massive influx of data. One major contribution to the research world is in the form of software-defined networking applications, which aim to deploy rule-based management to control and add intelligence to the network using high-level policies to have integral control of the network without knowing issues related to low-level configurations. Machine learning techniques coupled with software-defined networking can make the networking decision more intelligent and robust. The Internet of Things application has recently adopted virtualization of resources and network control with software-defined networking policies to make the traffic more controlled and maintainable. However, the requirements of software-defined networking and the Internet of Things must be aligned to make the adaptations possible. This paper aims to discuss the possible ways to make software-defined networking enabled Internet of Things application and discusses the challenges solved using the Internet of Things leveraging the software-defined network. We provide a topical survey of the application and impact of software-defined networking on the Internet of things networks. We also study the impact of machine learning techniques applied to software-defined networking and its application perspective. The study is carried out from the different perspectives of software-based Internet of Things networks, including wide-area networks, edge networks, and access networks. Machine learning techniques are presented from the perspective of network resources management, security, classification of traffic, quality of experience, and quality of service prediction. Finally, we discuss challenges and issues in adopting machine learning and software-defined networking for the Internet of Things applications. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",IoT; IoT leveraging SDN; Machine learning; SDN; SDN leveraging ML; Topical review,Review,Final,"All Open Access, Gold",Scopus,2-s2.0-85103659910
"Rabaa'i A.A., Zhu X.",54892071800;56389762000;,Understanding the determinants of wearable payment adoption: An empirical study,2021,"Interdisciplinary Journal of Information, Knowledge, and Management",16,,,173,211,,1,10.28945/4746,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106395361&doi=10.28945%2f4746&partnerID=40&md5=63586bcf91b1c5f778c3f87b089a8140,"Aim/Purpose The aim of this study is to determine the variables which affect the intention to use Near Field Communication (NFC)-enabled smart wearables (e.g., smart-watches, rings, wristbands) payments. Background Despite the enormous potential of wearable payments, studies investigating the adoption of this technology are scarce. Methodology This study extends the Technology Acceptance Model (TAM) with four addi-tional variables (Perceived Security, Trust, Perceived Cost, and Attractiveness of Alternatives) to investigate behavioral intentions to adopt wearable payments. The moderating role of gender was also examined. Data collected from 311 Kuwaiti respondents were analyzed using Structural Equation Modeling (SEM) and multi-group analysis (MGA). Contribution The research model provided in this study may be useful for academics and scholars conducting further research into m-payments adoption, specifically in the case of wearable payments where studies are scarce and still in the nascent stage; hence, addressing the gap in existing literature. Further, this study is the first to have specifically investigated wearable payments in the State of Kuwait; therefore, enriching Kuwaiti context literature. Findings This study empirically demonstrated that behavioral intention to adopt wearable payments is mainly predicted by attractiveness of alternatives, perceived useful-ness, perceived ease of use, perceived security and trust, while the role of per-ceived cost was found to be insignificant. Recommendations for Practitioners This study draws attention to the importance of cognitive factors, such as per-ceived usefulness and ease of use, in inducing users' behavioral intention to adopt wearable payments. As such, in the case of perceived usefulness, smart wearable devices manufacturers and banks enhance the functionalities and fea-tures of these devices, expand on the financial services provided through them, and maintain the availability, performance, effectiveness, and efficiency of these tools. In relation to ease of use, smart wearable devices should be designed with an easy to use, high quality and customizable user interface. The findings of this study demonstrated the influence of trust and perceived security in motivating users to adopt wearable payments, Hence, banks are advised to focus on a rela-tionship based on trust, especially during the early stages of acceptance and adoption of wearable payments. Recommendations for Researchers The current study validated the role of attractiveness of alternatives, which was never examined in the context of wearable payments. This, in turn, provides a new dimension about a determinant factor considered by customers in predict-ing their behavioral intention to adopt wearable payments. Impact on Society This study could be used in other countries to compare and verify the results. Additionally, the research model of this study could also be used to investigate other m-payments methods, such as m-wallets and P2P payments. Future Research Future studies should investigate the proposed model in a cross-country and cross-cultural perspective with additional economic, environmental, and techno-logical factors. Also, future research may conduct a longitudinal study to explain how temporal changes and usage experience affect users' behavioral intentions to adopt wearable payments. Finally, while this study included both influencing factors and inhibiting factors, other factors such as social influence, perceived compatibility, personal innovativeness, mobility, and customization could be considered in future research. © 2021 Informing Science Institute. All rights reserved.",Gender; Kuwait; Mobile payment; Near field communication; Smart wearables; Wearable payment,Article,Final,"All Open Access, Bronze",Scopus,2-s2.0-85106395361
"Niraula R.R., Sharma S., Pokharel B.K., Paudel U.",56031332400;56510589400;57128958800;56600660600;,Spatial prediction of spring locations in data poor region of Central Himalayas,2021,Hydrology Research,52,2,,492,505,,,10.2166/nh.2020.223,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105707481&doi=10.2166%2fnh.2020.223&partnerID=40&md5=09ec91a5ab9c469d64352f8d9c18f363,"This research explores the methods for understanding groundwater springs distribution and occurrence using Geographic Information System (GIS) and Machine Learning technique in data poor areas of the Central Himalayas. The objectives of this study are to analyse the distribution of natural springs, evaluate three random forest models for its predictability and establish a model for the prediction of occurrence of springs. This study evaluates the primary causal factors for occurrence of springs. The data used in this study consists of 20 parameters based on topography, geology, lithology, hydrology and land use as causal factors, whereas 621 spring location and discharge (n ¼ 621) measured during 2014-2016 and 815 non-spring locations (generated by GIS tool) use as supporting evidence to train (80%) and test (20%) the prediction model. Results show that the Bootstrap method is comparatively reliable (92% accuracy) over Boosted tree (64% accuracy) and Decision tree (74% accuracy) methods to classify and predict the occurrence of springs in the watershed. Bootstrap Forest shows the high Prediction rate for True Positive (82% actual spring predicted as a spring) and True Negative (89% actual non-spring predicted as non-spring), and the model seems consistent in both responses. This model was then applied to an independent dataset to predict spring location estimates with 75% accuracy. Therefore, spatial statistical methods prove efficient at predicting spring occurrence in data poor regions. © 2021 IWA Publishing. All rights reserved.",Bootstrap method; Groundwater; Prediction model; Random forest; Springs,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85105707481
Svensson M.,56329506000;,"“Crazy Jack” and the “Gay CEO”: Visions, Entrepreneurship, and the Chinese State in the New Digital Economy",2021,Journal of Current Chinese Affairs,50,1,,63,85,,1,10.1177/1868102621991558,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105247118&doi=10.1177%2f1868102621991558&partnerID=40&md5=552034f2b4c3bb0caf04ee2d3cc552b8,"This article analyses the visions, careers, and companies of Jack Ma of Alibaba and Geng Le of Blue City. Jack Ma is a well-known business leader and visionary, whereas the less well-known Geng Le only began to receive more attention since launching a successful gay dating app in 2012. The article focuses on the personal narratives and visions of these two IT entrepreneurs. It provides new perspectives on the role of individual entrepreneurs in relation to the Chinese state’s global ambitions and vision of creating a “strong internet country.” It argues that the commercialisation and platformisation of the Chinese internet, and the growing transnational nature of Chinese IT companies, serve to make them more, not less, co-dependent of the state and its visions. The internet’s emancipatory potential is today increasingly conflated with consumption, and online spaces and social relations are subject to both commodification and datafication. © The Author(s) 2021.",Alibaba; China; digital economy; platformisation; visions,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85105247118
"Alam F., Almaghthawi A., Katib I., Albeshri A., Mehmood R.",56104468400;57218381306;26534538800;36617092600;25643246000;,IResponse: An AI and IoT-enabled framework for autonomous COVID-19 pandemic management,2021,Sustainability (Switzerland),13,7,3797,,,,8,10.3390/su13073797,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104045793&doi=10.3390%2fsu13073797&partnerID=40&md5=d9d80281dbee758f4e0aa4b87255de19,"SARS-CoV-2, a tiny virus, is severely affecting the social, economic, and environmental sustainability of our planet, causing infections and deaths (2,674,151 deaths, as of 17 March 2021), relationship breakdowns, depression, economic downturn, riots, and much more. The lessons that have been learned from good practices by various countries include containing the virus rapidly; enforcing containment measures; growing COVID-19 testing capability; discovering cures; providing stimulus packages to the affected; easing monetary policies; developing new pandemic-related industries; support plans for controlling unemployment; and overcoming inequalities. Coordination and multi-term planning have been found to be the key among the successful national and global endeavors to fight the pandemic. The current research and practice have mainly focused on specific aspects of COVID-19 response. There is a need to automate the learning process such that we can learn from good and bad practices during pandemics and normal times. To this end, this paper proposes a technology-driven framework, iResponse, for coordinated and autonomous pandemic management, allowing pandemic-related monitoring and policy enforcement, resource planning and provisioning, and data-driven planning and decision-making. The framework consists of five modules: Monitoring and Break-the-Chain, Cure Development and Treatment, Resource Planner, Data Analytics and Decision Making, and Data Storage and Management. All modules collaborate dynamically to make coordinated and informed decisions. We provide the technical system architecture of a system based on the proposed iResponse framework along with the design details of each of its five components. The challenges related to the design of the individual modules and the whole system are discussed. We provide six case studies in the paper to elaborate on the different functionalities of the iResponse framework and how the framework can be implemented. These include a sentiment analysis case study, a case study on the recognition of human activities, and four case studies using deep learning and other data-driven methods to show how to develop sustainability-related optimal strategies for pandemic management using seven real-world datasets. A number of important findings are extracted from these case studies. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",Artificial intelligence (AI); Big data; Break-the-chain; Contact-tracing; COVID-19; Deep learning; Economic sustainability; Environment sustainability; Internet of things (IoT); Pandemic management; Sensors; Sentiment analysis; Social sustainability,Article,Final,"All Open Access, Gold",Scopus,2-s2.0-85104045793
"Bijay-Singh, Craswell E.",13614227300;6603658251;,Fertilizers and nitrate pollution of surface and ground water: an increasingly pervasive global problem,2021,SN Applied Sciences,3,4,518,,,,5,10.1007/s42452-021-04521-8,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103858547&doi=10.1007%2fs42452-021-04521-8&partnerID=40&md5=5cd9042ec889e00bb1127ad097aa2b1e,"Nitrate pollution of ground and surface water bodies all over the world is generally linked with continually increasing global fertilizer nitrogen (N) use. But after 1990, with more fertilizer N consumption in developing countries especially in East and South Asia than in the industrialized nations in North America and Europe, nitrate pollution of freshwaters is now increasingly becoming a pervasive global problem. In this review it has been attempted to review the research information generated during the last two decades from all over the world on different aspects of nitrate pollution of natural water bodies. It is now evident that not more than 50% of the fertilizer N is directly used by the crops to which it is applied. While a small portion may directly leach down and may reach ground and surface water bodies, a large proportion ends up in the soil organic N pool from where N is mineralized and is taken up by plants and/or lost via leaching during several decades. Present trends of nitrate pollution of freshwaters, therefore, reflect legacies of current and past applications of fertilizers and manures. Tools such as simulation models and the natural variation in the stable isotopes of N and oxygen are now being extensively used to study the contribution of fertilizers and other sources to nitrate enrichment of freshwaters. Impacts of agricultural stewardship measures are being assessed and nitrate enrichment of water bodies is being managed using modern digital models and frameworks. Improved water and fertilizer management in agroecosystems can reduce the contribution of fertilizers to nitrate pollution of water bodies but a host of factors determine the magnitude. Future research needs are also considered. © 2021, The Author(s).",Fertilizer management; Fertilizer nitrogen; Ground water; Nitrate; Soil nitrogen; Surface water; Water pollution,Review,Final,"All Open Access, Gold",Scopus,2-s2.0-85103858547
"Roy J., Some S., Das N., Pathak M.",7202869544;57208222799;57200583095;56818652900;,Demand side climate change mitigation actions and SDGs: Literature review with systematic evidence search,2021,Environmental Research Letters,16,4,43003,,,,2,10.1088/1748-9326/abd81a,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103450049&doi=10.1088%2f1748-9326%2fabd81a&partnerID=40&md5=5caa8d89dc6ca8c10f5ce8b1e62e64f3,"To strengthen current discourse on acceleration and scale up of the emissions mitigation actions by sector-specific demand side actions, information on the intersection of three dimensions becomes useful. First, what kind of actions help in avoiding, shifting and improving demand for activities/services and resultant emissions to help in deciding choices for actions; second, how these three categories of actions are linked to the wider impact on human wellbeing represented by the Sustainable Development Goals (SDGs) framework; and third, who are the actors associated with these mitigation actions. These three steps become important in the targeted scaling up of actions through policy interventions. This study undertakes a review of the literature between 2015 and 2020 with systematic evidence searching and screening. The literature search has been conducted in Scopus Database. From over 6887 literature in the initial search, 294 relevant literature were finally reviewed to link demand side interventions of avoid-shift-improve (ASI) categories to SDGs. It also maps these actions to actors who can lead the changes. Results show that a wide range of improvement actions are already helping in incremental steps to reduce demand and emissions in various services like mobility, shelter and industrial products. However, ASI categories provide more distinct mitigation actions. All actions need support of innovation, infrastructure development and industrialization. Actions that interact with several SDGs include active mode of transport, passive building design, cleaner cooking, and circular economy. Positive links of these actions to multiple SDGs are overall very strong; however, few trade-offs have been observed. These are mostly related to distributional impact across social groups which highlight the need for policy attention and hard infrastructure design changes. Mitigation and wider benefit outcomes cannot be achieved by individual or household level actions alone. They require the involvement of multiple actors, interconnected actions in sequence as well as in parallel, and support of hard infrastructure. Our results show that in mobility services, policy makers supported by spatial planners and service delivery providers are the major actors. In industry, major actors are policy makers followed by spatial planners and innovators. For buildings, key actors include spatial planners followed by policy makers. Besides these, strategic information sharing to enhance user awareness and education plays an important role in shaping behaviour. Digitalization, information and communication, and interactive technologies will play a significant role in understanding and modifying people's choices; however, these would also require regulatory attention. © 2021 The Author(s). Published by IOP Publishing Ltd.",actor; avoid-shift-improve; buildings; industry; mitigation actions; SDG; transport,Review,Final,"All Open Access, Gold",Scopus,2-s2.0-85103450049
"Stratoulias D., Grekousis G.",56270527600;52563646600;,Information extraction and population estimates of settlements from historic corona satellite imagery in the 1960S,2021,Sensors,21,7,2423,,,,,10.3390/s21072423,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103343946&doi=10.3390%2fs21072423&partnerID=40&md5=251b4dac55c8162827b76b691bb27837,"The Corona satellite program was a historic reconnaissance mission which provided high spatial resolution panchromatic images during the Cold War era. Nevertheless, and despite the historic uniqueness and importance of the dataset, efforts to extract tangible information from this dataset have primarily focused on visual interpretation. More sophisticated approaches have been either hampered or unrealized, often justified by the primitive quality of this early satellite product. In the current study we attempt to showcase the usability of Corona imagery outside the context of visual interpretation. Using a 1968 Corona image acquired over the city municipality of Plovdiv, Bulgaria, we reconstruct a panchromatic 1.8 m spatial resolution georegistered image with a relative displacement Root Mean Square Error (RMSE) of 6.616 (for x dimension) and 1.886 (for y dimension) and employ segmentation and texture analysis to discern agricultural parcels and settlements’ footprints. Population statistics of this past era are retrieved from national census and related to settlements’ footprints. An exponential relationship between the two variables was identified by applying a semi-log regression. The high adjusted R2 value found (76.54%) indicates that Corona images offer a unique opportunity for population data analysis of the past. Overall, we showcase that the Corona images’ usability extends beyond the visual interpretation, and features of interest extracted through image analysis can be subsequently used for further geographical and historical research. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",Agriculture; Corona mission; Feature extraction; Field delineation; Historical GIS; Human population; Remote sensing; Segmentation; Settlements; Texture,Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85103343946
"Singh M., Singh B.B., Singh R., Upendra B., Kaur R., Gill S.S., Biswas M.S.",57219663862;56779311100;57222032158;57204550809;57197899717;57216940144;57213235312;,Quantifying COVID-19 enforced global changes in atmospheric pollutants using cloud computing based remote sensing,2021,Remote Sensing Applications: Society and Environment,22,,100489,,,,5,10.1016/j.rsase.2021.100489,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103342169&doi=10.1016%2fj.rsase.2021.100489&partnerID=40&md5=d8f58b0d0364d51cfe75083303d297b5,"Global lockdowns in response to the COVID-19 pandemic have led to changes in the anthropogenic activities resulting in perceivable air quality improvements. Although several recent studies have analyzed these changes over different regions of the globe, these analyses have been constrained due to the usage of station based data which is mostly limited up to the metropolitan cities. Also the quantifiable changes have been reported only for the developed and developing regions leaving the poor economies (e.g. Africa) due to the shortage of in-situ data. Using a comprehensive set of high spatiotemporal resolution satellites and merged products of air pollutants, we analyze the air quality across the globe and quantify the improvement resulting from the suppressed anthropogenic activity during the lockdowns. In particular, we focus on megacities, capitals and cities with high standards of living to make the quantitative assessment. Our results offer valuable insights into the spatial distribution of changes in the air pollutants due to COVID-19 enforced lockdowns. Statistically significant reductions are observed over megacities with mean reduction by 19.74%, 7.38% and 49.9% in nitrogen dioxide (NO2), aerosol optical depth (AOD) and PM2.5 concentrations. Google Earth Engine empowered cloud computing based remote sensing is used and the results provide a testbed for climate sensitivity experiments and validation of chemistry-climate models. Additionally, Google Earth Engine based apps have been developed to visualize the changes in a real-time fashion. © 2021 Elsevier B.V.",AOD; Cloud computing; COVID19; Google earth engine; NO2; PM2.5; Tropospheric ozone,Article,Final,"All Open Access, Green",Scopus,2-s2.0-85103342169
"Di X., Shi R.",36987391400;57190345282;,A survey on autonomous vehicle control in the era of mixed-autonomy: From physics-based to AI-guided driving policy learning,2021,Transportation Research Part C: Emerging Technologies,125,,103008,,,,6,10.1016/j.trc.2021.103008,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85102260094&doi=10.1016%2fj.trc.2021.103008&partnerID=40&md5=a7e1b990f72ca536063a368583e33211,"This paper serves as an introduction and overview of the potentially useful models and methodologies from artificial intelligence (AI) into the field of transportation engineering for autonomous vehicle (AV) control in the era of mixed autonomy when AVs drive alongside human-driven vehicles (HV). It is the first-of-its-kind survey paper to comprehensively review literature in both transportation engineering and AI for mixed traffic modeling. We will discuss state-of-the-art applications of AI-guided methods, identify opportunities and obstacles, and raise open questions. We divide the stage of AV deployment into four phases: the pure HVs, the HV-dominated, the AV-dominated, and the pure AVs. This paper is primarily focused on the latter three phases. Models used for each phase are summarized, encompassing game theory, deep (reinforcement) learning, and imitation learning. While reviewing the methodologies, we primarily focus on the following research questions: (1) What scalable driving policies are to control a large number of AVs in mixed traffic comprised of human drivers and uncontrollable AVs? (2) How do we estimate human driver behaviors? (3) How should the driving behavior of uncontrollable AVs be modeled in the environment? (4) How are the interactions between human drivers and autonomous vehicles characterized? We also provide a list of public datasets and simulation software related to AVs. Hopefully this paper will not only inspire our transportation community to rethink the conventional models that are developed in the data-shortage era, but also start conversations with other disciplines, in particular robotics and machine learning, to join forces towards creating a safe and efficient mixed traffic ecosystem. © 2021 Elsevier Ltd",Artificial intelligence (AI); Autonomous vehicle (AV) control; Mixed autonomy,Article,Final,"All Open Access, Green",Scopus,2-s2.0-85102260094
"Dao N.-N., Pham Q.-V., Tu N.H., Thanh T.T., Bao V.N.Q., Lakew D.S., Cho S.",56810883300;56884048100;57222169217;55806696900;24824104200;57196954484;55542045700;,Survey on Aerial Radio Access Networks: Toward a Comprehensive 6G Access Infrastructure,2021,IEEE Communications Surveys and Tutorials,23,2,9358097,1193,1225,,7,10.1109/COMST.2021.3059644,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101778497&doi=10.1109%2fCOMST.2021.3059644&partnerID=40&md5=ce9141b1bb719353eda715e5d50baef6,"Current access infrastructures are characterized by heterogeneity, low latency, high throughput, and high computational capability, enabling massive concurrent connections and various services. Unfortunately, this design does not pay significant attention to mobile services in underserved areas. In this context, the use of aerial radio access networks (ARANs) is a promising strategy to complement existing terrestrial communication systems. Involving airborne components such as unmanned aerial vehicles, drones, and satellites, ARANs can quickly establish a flexible access infrastructure on demand. ARANs are expected to support the development of seamless mobile communication systems toward a comprehensive sixth-generation (6G) global access infrastructure. This paper provides an overview of recent studies regarding ARANs in the literature. First, we investigate related work to identify areas for further exploration in terms of recent knowledge advancements and analyses. Second, we define the scope and methodology of this study. Then, we describe ARAN architecture and its fundamental features for the development of 6G networks. In particular, we analyze the system model from several perspectives, including transmission propagation, energy consumption, communication latency, and network mobility. Furthermore, we introduce technologies that enable the success of ARAN implementations in terms of energy replenishment, operational management, and data delivery. Subsequently, we discuss application scenarios envisioned for these technologies. Finally, we highlight ongoing research efforts and trends toward 6G ARANs. © 1998-2012 IEEE.",6G; access infrastructure; aerial radio access network; unmanned aerial vehicles,Review,Final,"All Open Access, Green",Scopus,2-s2.0-85101778497
